TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-09 13:36:19.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.000000,-115.173241,36.113400,LTE(2CA),30.421,2CA,22.998
2022-08-09 13:36:20.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.400000,-115.173241,36.113400,,,2CA,28.802
2022-08-09 13:36:20.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:20.900000,-115.173241,36.113400,,,2CA,30.114
2022-08-09 13:36:21.000000,-115.173241,36.113400,LTE(2CA),23.690,2CA,
2022-08-09 13:36:21.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.400000,-115.173241,36.113400,,,2CA,23.648
2022-08-09 13:36:21.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:21.900000,-115.173241,36.113400,,,2CA,24.242
2022-08-09 13:36:22.000000,-115.173241,36.113400,LTE(2CA),25.196,2CA,
2022-08-09 13:36:22.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.400000,-115.173241,36.113400,,,2CA,28.172
2022-08-09 13:36:22.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:22.900000,-115.173241,36.113400,,,2CA,22.551
2022-08-09 13:36:23.000000,-115.173241,36.113400,LTE(2CA),23.563,2CA,
2022-08-09 13:36:23.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.400000,-115.173241,36.113400,,,2CA,21.774
2022-08-09 13:36:23.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:23.900000,-115.173241,36.113400,,,2CA,25.083
2022-08-09 13:36:24.000000,-115.173241,36.113400,LTE(2CA),24.603,2CA,
2022-08-09 13:36:24.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.400000,-115.173241,36.113400,,,2CA,25.160
2022-08-09 13:36:24.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:24.900000,-115.173241,36.113400,,,2CA,25.544
2022-08-09 13:36:25.000000,-115.173241,36.113400,LTE(2CA),27.148,2CA,
2022-08-09 13:36:25.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.400000,-115.173241,36.113400,,,2CA,25.338
2022-08-09 13:36:25.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:25.900000,-115.173241,36.113400,,,2CA,28.948
2022-08-09 13:36:26.000000,-115.173241,36.113400,LTE(2CA),26.546,2CA,
2022-08-09 13:36:26.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.400000,-115.173241,36.113400,,,2CA,28.126
2022-08-09 13:36:26.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:26.900000,-115.173241,36.113400,,,2CA,25.476
2022-08-09 13:36:27.000000,-115.173241,36.113400,LTE(2CA),21.151,2CA,
2022-08-09 13:36:27.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.400000,-115.173241,36.113400,,,2CA,20.682
2022-08-09 13:36:27.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:27.900000,-115.173241,36.113400,,,2CA,22.367
2022-08-09 13:36:28.000000,-115.173241,36.113400,LTE(2CA),22.343,2CA,
2022-08-09 13:36:28.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.400000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.500000,-115.173241,36.113400,,,2CA,22.802
2022-08-09 13:36:28.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:28.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.000000,-115.173241,36.113400,LTE(2CA),35.691,2CA,24.487
2022-08-09 13:36:29.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.400000,-115.173241,36.113400,,,2CA,31.881
2022-08-09 13:36:29.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:29.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:30.000000,-115.173241,36.113400,LTE(2CA),37.689,2CA,37.676
2022-08-09 13:36:30.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:30.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:30.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:30.400000,-115.173233,36.113400,,,2CA,40.235
2022-08-09 13:36:30.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:30.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:30.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:30.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:30.900000,-115.173233,36.113400,,,2CA,35.734
2022-08-09 13:36:31.000000,-115.173233,36.113400,LTE(2CA),26.490,2CA,
2022-08-09 13:36:31.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.400000,-115.173233,36.113400,,,2CA,31.581
2022-08-09 13:36:31.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:31.900000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.000000,-115.173233,36.113400,LTE(2CA),15.767,2CA,20.879
2022-08-09 13:36:32.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.400000,-115.173233,36.113400,,,2CA,14.691
2022-08-09 13:36:32.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:32.900000,-115.173233,36.113400,,,2CA,15.948
2022-08-09 13:36:33.000000,-115.173233,36.113400,LTE(2CA),17.420,2CA,
2022-08-09 13:36:33.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.400000,-115.173233,36.113400,,,2CA,14.646
2022-08-09 13:36:33.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:33.900000,-115.173233,36.113400,,,2CA,20.385
2022-08-09 13:36:34.000000,-115.173233,36.113400,LTE(2CA),19.598,2CA,
2022-08-09 13:36:34.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.400000,-115.173233,36.113400,,,2CA,17.331
2022-08-09 13:36:34.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:34.900000,-115.173233,36.113400,,,2CA,19.718
2022-08-09 13:36:35.000000,-115.173233,36.113400,LTE(2CA),17.918,2CA,
2022-08-09 13:36:35.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.400000,-115.173233,36.113400,,,2CA,23.168
2022-08-09 13:36:35.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:35.900000,-115.173233,36.113400,,,2CA,12.384
2022-08-09 13:36:36.000000,-115.173233,36.113400,LTE(2CA),8.659,2CA,
2022-08-09 13:36:36.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.400000,-115.173233,36.113400,,,2CA,9.873
2022-08-09 13:36:36.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:36.900000,-115.173233,36.113400,,,2CA,6.877
2022-08-09 13:36:37.000000,-115.173233,36.113400,LTE(2CA),8.837,2CA,
2022-08-09 13:36:37.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.400000,-115.173233,36.113400,,,2CA,7.898
2022-08-09 13:36:37.500000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.600000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.700000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.800000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:37.900000,-115.173233,36.113400,,,2CA,9.779
2022-08-09 13:36:38.000000,-115.173233,36.113400,LTE(2CA),9.960,2CA,
2022-08-09 13:36:38.100000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:38.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:38.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:38.400000,-115.173241,36.113400,,,2CA,8.888
2022-08-09 13:36:38.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:38.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:38.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:38.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:38.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.000000,-115.173241,36.113400,LTE(2CA),12.955,2CA,11.127
2022-08-09 13:36:39.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.400000,-115.173241,36.113400,,,2CA,9.733
2022-08-09 13:36:39.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:39.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:40.000000,-115.173241,36.113400,LTE(2CA),15.280,2CA,15.559
2022-08-09 13:36:40.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:40.200000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:40.300000,-115.173233,36.113400,,,2CA,
2022-08-09 13:36:40.400000,-115.173233,36.113400,,,2CA,17.296
2022-08-09 13:36:40.500000,-115.173233,36.113400,,,2CA,
