nuttcp-t: v8.1.4: socket
nuttcp-t: buflen=65536, nstream=1, port=5007 tcp -> 54.176.53.206
nuttcp-t: time limit = 30.00 seconds
nuttcp-t: connect to 54.176.53.206 with mss=1376, RTT=30.602 ms af=inet
nuttcp-t: send window size = 33554432, receive window size = 6291456
nuttcp-t: available send window = 25165824, available receive window = 4718592
nuttcp-t: initial congestion window = 13 KB (10 packets)
nuttcp-r: Warning: receive window size 25000000 < requested window size 26214400
nuttcp-r: v6.1.2: socket
nuttcp-r: buflen=65536, nstream=1, port=5007 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: accept from 174.204.9.100
nuttcp-r: send window size = 25000000, receive window size = 50000000
nuttcp-r: available send window = 12500000, available receive window = 25000000
    3.0000 MB /   0.10 sec =  251.5350 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.5041 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6004 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.5164 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.0438 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  215.2961 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.6660 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6608 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  240.9171 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  236.2083 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.6429 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6985 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.6913 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.3789 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6683 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4080 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4080 Mbps     0 retrans   5567 KB-cwnd
