TIME_STAMP,Lon,Lat,LTE KPI CA Type,LTE KPI UL CA Type,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,LTE KPI PCell M(Tx) x N(Rx) Ant,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(DL)[MHz],Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(UL)[MHz]
2022-08-08 11:33:58.200000,-118.236801,34.058800,NonCA,NonCA,,,,,7.123,0.072,445157,4477,1955.00,1875.00
2022-08-08 11:33:58.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:58.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:58.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:58.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:58.700000,-118.236801,34.058800,NonCA,NonCA,,,,,7.271,0.043,454432,2671,1955.00,1875.00
2022-08-08 11:33:58.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:58.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:59.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:59.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:59.200000,-118.236801,34.058800,NonCA,NonCA,,,,,8.019,0.036,501188,2276,1955.00,1875.00
2022-08-08 11:33:59.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:59.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:59.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
