,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
174,17552,108560,2022-08-14 17:31:01.300000,40.873867,-82.217484,1.323,0.036,,873.85,340.0,2.0,50.0,-94.38,10.0,7.08,7.69,0.002,-94.38,,,,,,,,1.719,,,,,,,,1025.0,340.0,,,,,,,,,,,14.5,-95.46,2272.0,5.0,12.35,3.33,-95.46
175,17553,108565,2022-08-14 17:31:01.800000,40.87392,-82.217278,1.12,0.026,,873.85,340.0,0.0,0.0,-94.74,10.0,,,0.003,-94.74,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,19.0,-96.59,1638.0,5.0,12.4,16.38,-96.59
176,17554,108570,2022-08-14 17:31:02.300000,40.873974,-82.217087,0.937,0.033,,873.85,340.0,2.0,0.0,-95.1,10.0,9.25,0.0,0.01,-95.1,,,,,,,,0.779,,,,,,,,1025.0,340.0,,,,,,,,,,,16.67,-97.92,2053.0,5.0,,,-97.92
177,17555,108575,2022-08-14 17:31:02.800000,40.874027,-82.216888,0.618,0.027,,873.85,340.0,0.0,0.0,-95.32,10.0,14.17,14.29,0.004,-95.32,,,,,,,,0.855,,,,,,,,1025.0,340.0,,,,,,,,,,,18.75,-99.74,1686.0,5.0,9.74,9.3,-99.74
178,17556,108580,2022-08-14 17:31:03.300000,40.874081,-82.21669,0.503,0.02,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,13.0,-100.98,1258.0,5.0,11.31,32.86,-100.98
179,17557,108585,2022-08-14 17:31:03.800000,40.87413,-82.216492,0.277,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.7,1465.0,5.0,,,-100.7
180,17558,108590,2022-08-14 17:31:04.300000,40.874184,-82.216293,0.298,0.02,,,,0.0,0.0,,,0.0,0.0,0.001,,,,,,,,,0.329,,,,,,,,1025.0,340.0,,,,,,,,,,,8.5,-102.26,1242.0,5.0,9.86,24.44,-102.26
181,17559,108595,2022-08-14 17:31:04.800000,40.874237,-82.216087,0.458,0.015,,873.85,340.0,4.0,0.0,-95.11,10.0,4.5,0.0,0.003,-95.11,,,,,,,,0.186,,,,,,,,1025.0,340.0,,,,,,,,,,,15.0,-100.56,962.0,5.0,4.67,0.0,-100.56
182,17560,108600,2022-08-14 17:31:05.300000,40.874298,-82.215881,0.413,0.021,,873.85,340.0,,,-94.21,10.0,2.0,0.0,0.0,-94.21,,,,,,,,0.046,,,,,,,,1025.0,340.0,,,,,,,,,,,16.4,-99.82,1296.0,5.0,,,-99.82
183,17561,108605,2022-08-14 17:31:05.800000,40.874359,-82.215675,0.321,0.026,,873.85,340.0,,,-94.16,10.0,4.38,0.0,0.0,-94.16,,,,,,,,0.199,,,,,,,,1025.0,340.0,,,,,,,,,,,16.0,-100.35,1651.0,5.0,15.83,11.36,-100.35
184,17562,108610,2022-08-14 17:31:06.300000,40.874416,-82.215477,0.482,0.016,,873.85,340.0,1.0,0.0,-95.23,10.0,19.0,25.0,0.002,-95.23,,,,,,,,0.511,,,,,,,,1025.0,340.0,,,,,,,,,,,12.5,-98.72,1018.0,5.0,9.86,23.68,-98.72
185,17563,108615,2022-08-14 17:31:06.800000,40.87447,-82.215279,0.367,0.019,,873.85,340.0,,,-95.31,10.0,,,0.0,-95.31,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,18.83,-101.26,1206.0,5.0,9.78,0.0,-101.26
186,17564,108620,2022-08-14 17:31:07.300000,40.874527,-82.21508,0.708,0.027,,,,0.0,0.0,,,14.67,0.0,0.002,,,,,,,,,0.466,,,,,,,,1025.0,340.0,,,,,,,,,,,15.0,-100.09,1706.0,5.0,,,-100.09
187,17565,108625,2022-08-14 17:31:07.800000,40.87458,-82.214882,0.524,0.022,,,,,,,,3.6,0.0,0.0,,,,,,,,,0.254,,,,,,,,1025.0,340.0,,,,,,,,,,,,-101.84,1375.0,5.0,9.38,18.18,-101.84
188,17566,108630,2022-08-14 17:31:08.300000,40.874634,-82.214676,1.029,0.028,,,,0.0,0.0,,,7.0,0.0,0.002,,,,,,,,,0.241,,,,,,,,1025.0,340.0,,,,,,,,,,,,-102.31,1746.0,5.0,,,-102.31
189,17567,108640,2022-08-14 17:31:09.300000,40.874744,-82.214279,1.031,0.036,,873.85,340.0,0.0,0.0,-94.89,10.0,9.29,12.5,0.002,-94.89,,,,,,,,1.162,,,,,,,,1025.0,340.0,,,,,,,,,,,11.0,-103.38,2263.0,5.0,1.5,0.0,-103.38
190,17568,108645,2022-08-14 17:31:09.800000,40.874798,-82.214081,1.143,0.034,,873.85,340.0,,,-95.45,10.0,10.67,25.0,0.0,-95.45,,,,,,,,1.21,,,,,,,,1025.0,340.0,,,,,,,,,,,8.33,-105.01,2103.0,5.0,,,-105.01
191,17569,108650,2022-08-14 17:31:10.300000,40.874855,-82.213875,1.87,0.043,,873.85,340.0,0.0,0.0,-94.69,10.0,8.6,0.0,0.003,-94.69,,,,,,,,0.771,,,,,,,,1025.0,340.0,,,,,,,,,,,7.0,-104.63,2675.0,5.0,6.96,11.63,-104.63
192,17570,108655,2022-08-14 17:31:10.800000,40.874908,-82.213669,0.754,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,340.0,,,,,,,,,,,8.43,-105.62,1606.0,5.0,6.96,0.0,-105.62
193,17571,108660,2022-08-14 17:31:11.300000,40.874966,-82.21347,1.694,0.046,,,,,,,,5.36,0.0,0.0,,,,,,,,,1.045,,,,,,,,1025.0,340.0,,,,,,,,,,,9.64,-103.84,2897.0,5.0,10.8,3.57,-103.84
194,17572,108665,2022-08-14 17:31:11.800000,40.875019,-82.213264,1.599,0.038,,,,0.0,0.0,,,21.29,20.0,0.008,,,,,,,,,1.595,,,,,,,,1025.0,340.0,,,,,,,,,,,9.23,-103.13,2363.0,5.0,,,-103.13
195,17573,108670,2022-08-14 17:31:12.300000,40.875076,-82.213066,1.392,0.039,,,,1.5,0.0,,,19.47,21.74,0.026,,,,,,,,,0.847,,,,,,,,1025.0,340.0,,,,,,,,,,,9.55,-102.1,2434.0,5.0,1.0,0.0,-102.1
196,17574,108675,2022-08-14 17:31:12.800000,40.875137,-82.212868,1.146,0.028,,873.85,340.0,4.0,0.0,-95.22,10.0,16.0,0.0,0.005,-95.22,,,,,,,,0.324,,,,,,,,1025.0,340.0,,,,,,,,,,,11.75,-104.49,1735.0,5.0,9.04,0.0,-104.49
197,17575,108680,2022-08-14 17:31:13.300000,40.875195,-82.212669,0.866,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,340.0,,,,,,,,,,,3.86,-105.26,1190.0,5.0,6.74,4.55,-105.26
198,17576,108685,2022-08-14 17:31:13.800000,40.875248,-82.212471,1.508,0.036,,873.85,340.0,0.8,0.0,-95.09,10.0,12.47,0.0,0.008,-95.09,,,,,,,,1.436,,,,,,,,1025.0,340.0,,,,,,,,,,,6.23,-106.41,2260.0,5.0,13.9,27.27,-106.41
199,17577,108690,2022-08-14 17:31:14.300000,40.875305,-82.212273,1.19,0.034,,873.85,340.0,,100.0,-94.57,10.0,1.09,0.0,0.0,-94.57,,,,,,,,0.258,,,,,,,,1025.0,340.0,,,,,,,,,,,11.54,-103.67,2117.0,5.0,12.48,17.98,-103.67
200,17578,108695,2022-08-14 17:31:14.800000,40.875359,-82.212067,1.12,0.034,,873.85,340.0,4.0,0.0,-95.01,10.0,,,0.007,-95.01,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-104.12,2117.0,5.0,,,-104.12
201,17579,108700,2022-08-14 17:31:15.300000,40.875416,-82.211868,0.663,0.026,,,,,,,,16.5,33.33,0.0,,,,,,,,,0.341,,,,,,,,1025.0,340.0,,,,,,,,,,,9.83,-102.93,1638.0,5.0,16.4,0.0,-102.93
202,17580,108705,2022-08-14 17:31:15.800000,40.875469,-82.21167,1.12,0.034,,,,1.0,0.0,,,18.75,11.11,0.002,,,,,,,,,1.017,,,,,,,,1025.0,340.0,,,,,,,,,,,6.94,-103.53,2097.0,5.0,10.64,25.0,-103.53
203,17581,108710,2022-08-14 17:31:16.300000,40.875526,-82.211479,1.302,0.041,,,,9.0,75.0,,,18.33,13.33,0.008,,,,,,,,,1.45,,,,,,,,1025.0,340.0,,,,,,,,,,,3.22,-103.52,2577.0,5.0,,,-103.52
204,17582,108715,2022-08-14 17:31:16.800000,40.875587,-82.211281,1.391,0.031,,873.85,340.0,0.5,0.0,-92.7,10.0,17.96,0.0,0.004,-92.7,,,,,,,,1.493,,,,,,,,1025.0,340.0,,,,,,,,,,,7.38,-101.92,1952.0,5.0,1.0,0.0,-101.92
205,17583,108720,2022-08-14 17:31:17.300000,40.875645,-82.211082,1.694,0.042,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,3.0,-108.53,2619.0,5.0,11.05,31.71,-108.53
206,17584,108725,2022-08-14 17:31:17.800000,40.875698,-82.210876,0.596,0.035,,873.85,340.0,3.0,0.0,-99.01,10.0,17.5,50.0,0.007,-99.01,,,,,,,,0.195,,,,,,,,1025.0,340.0,,,,,,,,,,,2.0,-108.86,2201.0,5.0,,,-108.86
207,17585,108730,2022-08-14 17:31:18.300000,40.875759,-82.210686,0.456,0.014,,873.85,340.0,,,-100.05,10.0,,,0.0,-100.05,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,7.55,-108.59,894.0,5.0,10.55,14.67,-108.59
208,17586,108735,2022-08-14 17:31:18.800000,40.87582,-82.210487,0.892,0.025,,873.85,340.0,5.0,66.67,-97.6,10.0,,,0.012,-97.6,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,8.0,-109.87,1586.0,5.0,8.87,19.57,-109.87
209,17587,108740,2022-08-14 17:31:19.300000,40.875877,-82.210297,0.708,0.025,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,12.5,-107.97,1583.0,5.0,12.39,11.63,-107.97
210,17588,108745,2022-08-14 17:31:19.800000,40.875938,-82.210098,0.206,0.017,,,,3.0,0.0,,,13.0,0.0,0.003,,,,,,,,,0.428,,,,,,,,1025.0,340.0,,,,,,,,,,,11.5,-108.06,1074.0,5.0,5.63,11.11,-108.06
211,17589,108750,2022-08-14 17:31:20.300000,40.876003,-82.209908,0.324,0.018,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,14.0,-107.9,1146.0,5.0,6.22,15.56,-107.9
212,17590,108755,2022-08-14 17:31:20.800000,40.876068,-82.209709,0.342,0.015,,873.85,340.0,,,-93.41,10.0,16.0,0.0,0.0,-93.41,,,,,,,,0.194,,,,,,,,1025.0,340.0,,,,,,,,,,,14.25,-106.5,914.0,5.0,8.57,4.44,-106.5
213,17591,108760,2022-08-14 17:31:21.300000,40.876129,-82.209518,0.549,0.024,,873.85,340.0,4.0,0.0,-94.31,10.0,16.0,0.0,0.006,-94.31,,,,,,,,0.115,,,,,,,,1025.0,340.0,,,,,,,,,,,9.0,-110.99,1479.0,5.0,9.0,7.14,-110.99
214,17592,108765,2022-08-14 17:31:21.800000,40.87619,-82.209328,0.87,0.024,,873.85,340.0,8.0,0.0,-94.31,10.0,17.0,0.0,0.012,-94.31,,,,,,,,0.585,,,,,,,,1025.0,340.0,,,,,,,,,,,3.83,-107.68,1486.0,5.0,11.17,9.76,-107.68
215,17593,108770,2022-08-14 17:31:22.300000,40.876255,-82.209137,0.503,0.022,,873.85,340.0,11.0,0.0,-93.91,10.0,5.0,0.0,0.01,-93.91,,,,,,,,1.379,,,,,,,,1025.0,340.0,,,,,,,,,,,8.71,-107.0,1386.0,5.0,8.48,2.22,-107.0
216,17594,108775,2022-08-14 17:31:22.800000,40.87632,-82.208939,0.938,0.031,,873.85,340.0,11.0,0.0,-93.91,10.0,7.71,0.0,0.03,-93.91,,,,,,,,1.081,,,,,,,,1025.0,340.0,,,,,,,,,,,9.0,-107.65,1947.0,5.0,8.1,8.7,-107.65
217,17595,108780,2022-08-14 17:31:23.300000,40.876385,-82.208748,1.307,0.033,,873.85,340.0,14.0,0.0,-94.57,10.0,8.0,0.0,0.01,-94.57,,,,,,,,1.791,,,,,,,,1025.0,340.0,,,,,,,,,,,,-106.97,2052.0,5.0,,,-106.97
218,17596,108785,2022-08-14 17:31:23.800000,40.87645,-82.208549,1.368,0.038,,873.85,340.0,16.0,0.0,-94.22,10.0,14.0,0.0,0.026,-94.22,,,,,,,,0.663,,,,,,,,1025.0,340.0,,,,,,,,,,,9.14,-107.61,2359.0,5.0,,,-107.61
219,17597,108790,2022-08-14 17:31:24.300000,40.876522,-82.208359,0.963,0.024,,873.85,340.0,18.0,0.0,-94.81,10.0,11.5,0.0,0.026,-94.81,,,,,,,,0.481,,,,,,,,1025.0,340.0,,,,,,,,,,,9.57,-104.1,1494.0,5.0,2.33,0.0,-104.1
220,17598,108795,2022-08-14 17:31:24.800000,40.876595,-82.208168,1.212,0.032,,,,17.67,0.0,,,14.14,7.69,0.044,,,,,,,,,1.596,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.94,1988.0,5.0,,,-100.94
221,17599,108800,2022-08-14 17:31:25.300000,40.876667,-82.207977,3.291,0.074,,,,16.25,20.0,,,14.88,0.0,0.057,,,,,,,,,3.596,,,,,,,,1025.0,340.0,,,,,,,,,,,13.36,-99.44,4600.0,5.0,,,-99.44
222,17600,108805,2022-08-14 17:31:25.800000,40.876736,-82.207787,3.831,0.085,,,,18.0,0.0,,,15.44,10.0,0.017,,,,,,,,,1.575,,,,,,,,1025.0,340.0,,,,,,,,,,,24.5,-96.33,5303.0,5.0,7.0,0.0,-96.33
223,17601,108810,2022-08-14 17:31:26.300000,40.876812,-82.207596,3.182,0.05,,873.85,340.0,17.33,0.0,-92.85,10.0,15.94,9.52,0.038,-92.85,,,,,,,,4.677,,,,,,,,1025.0,340.0,,,,,,,,,,,18.77,-97.6,3099.0,5.0,,,-97.6
224,17602,108815,2022-08-14 17:31:26.800000,40.876884,-82.207397,1.736,0.041,,873.85,340.0,17.0,0.0,-93.54,10.0,14.63,5.88,0.077,-93.54,,,,,,,,1.94,,,,,,,,1025.0,340.0,,,,,,,,,,,16.17,-95.13,2547.0,5.0,12.3,5.68,-95.13
