,TIME_STAMP,Lon,Lat,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
34,2022-08-14 11:18:02.900000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-97.13,-10.67,-66.92,,,-17.41,12.43,10.0,12.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21528.0,NonCA,,Band 2,,,,,
35,2022-08-14 11:18:03.000000,,,LTE,,,,LTE Qualcomm,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.23,-10.67,-65.79,,,-14.28,11.17,8.75,10.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,4x2,,,22.5,,,64QAM,,3.27,0.15,0.15,0.01,0.08,,,0.033,0.04,0.01,0.033,,3.27,0.15,0.08,,,0.033,0.04,0.01,0.033,0.002,,0.0,,21528.0,NonCA,NonCA,Band 2,,,,,0.002
36,2022-08-14 11:18:03.100000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.48,-11.65,-65.33,,,-10.7,9.3,8.75,10.25,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,5.5,,,QPSK,,,4.0,,,,,,0.0,16.67,,,,,4.0,,,,0.0,16.67,,,,,,,,,21528.0,NonCA,,Band 2,,,,,
37,2022-08-14 11:18:03.200000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.69,-11.42,-66.17,,,-11.92,10.57,8.5,8.5,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.0,,21528.0,NonCA,,Band 2,,,,,
38,2022-08-14 11:18:03.300000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-97.46,-13.56,-64.7,,,-6.03,9.84,8.0,8.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,21528.0,NonCA,,Band 2,0.003,0.003,198.0,198.0,
39,2022-08-14 11:18:03.400000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.0,-16.47,-60.75,,,-10.26,11.05,10.5,9.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,4.33,,,QPSK,,,4.0,,,,,,0.0,0.0,,,,,4.0,,,,0.0,0.0,,,,,,,,,21528.0,NonCA,,Band 2,,,,,
40,2022-08-14 11:18:03.500000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-95.36,-12.88,-63.64,,,-12.16,10.68,10.0,8.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,20.27,,,64QAM,,3.54,,,,,,,,,,,,3.54,,,,,,,,,0.004,,0.0,,21528.0,NonCA,NonCA,Band 2,,,,,0.003
41,2022-08-14 11:18:03.600000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-98.6,-13.94,-64.19,,,-16.43,11.43,10.0,8.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21528.0,NonCA,,Band 2,,,,,
42,2022-08-14 11:18:03.700000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-97.47,-12.44,-65.64,,,-16.89,8.75,11.0,9.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,11.25,12.0,21.67,QPSK,16QAM,64QAM,12.75,4.0,,,,,20.0,0.0,,,,,12.75,4.0,,,20.0,0.0,,,,,0.002,,0.0,,21528.0,NonCA,NonCA,Band 2,,,,,
43,2022-08-14 11:18:03.800000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-98.15,-11.33,-66.42,,4.78,-8.02,11.0,10.25,8.75,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,40.0,,,,,,,,,21528.0,NonCA,,Band 2,0.002,0.002,132.0,132.0,
